Image Path,Results,,,,,,Image Path,Actual Results
test_data/SetElderly/img_346.png,False,,,,,,,
test_data/SetElderly/img_028.png,False,,,,,,,
test_data/SetElderly/img_159.png,None,,,,,,,
test_data/SetElderly/img_242.png,False,,,,,,,
test_data/SetElderly/img_129.png,False,,,,,,,
test_data/SetElderly/img_010.png,False,,,,,,,
test_data/SetElderly/img_044.png,None,,,,,,,
test_data/SetElderly/img_350.png,None,,,,,,,
test_data/SetElderly/img_410.png,False,,,,,,,
test_data/SetElderly/img_319.png,None,,,,,,,
test_data/SetElderly/img_096.png,None,,,,,,,
test_data/SetElderly/img_228.png,False,,,,,,,
test_data/SetElderly/img_155.png,False,,,,,,,
test_data/SetElderly/img_364.png,False,,,,,,,
test_data/SetElderly/img_313.png,False,,,,,,,
test_data/SetElderly/img_266.png,False,,,,,,,
test_data/SetElderly/img_073.png,False,,,,,,,
test_data/SetElderly/img_135.png,False,,,,,,,
test_data/SetElderly/img_009.png,False,,,,,,,
test_data/SetElderly/img_396.png,False,,,,,,,
test_data/SetElderly/img_109.png,False,,,,,,,
test_data/SetElderly/img_362.png,False,,,,,,,
test_data/SetElderly/img_128.png,False,,,,,,,
test_data/SetElderly/img_316.png,False,,,,,,,
test_data/SetElderly/img_201.png,False,,,,,,,
test_data/SetElderly/img_398.png,False,,,,,,,
test_data/SetElderly/img_104.png,False,,,,,,,
test_data/SetElderly/img_063.png,False,,,,,,,
test_data/SetElderly/img_381.png,None,,,,,,,
test_data/SetElderly/img_390.png,False,,,,,,,
test_data/SetElderly/img_039.png,None,,,,,,,
test_data/SetElderly/img_170.png,False,,,,,,,
test_data/SetElderly/img_004.png,False,,,,,,,
test_data/SetElderly/img_208.png,False,,,,,,,
test_data/SetElderly/img_334.png,None,,,,,,,
test_data/SetElderly/img_307.png,False,,,,,,,
test_data/SetElderly/img_188.png,False,,,,,,,
test_data/SetElderly/img_171.png,False,,,,,,,
test_data/SetElderly/img_018.png,None,,,,,,,
test_data/SetElderly/img_183.png,False,,,,,,,
test_data/SetElderly/img_115.png,None,,,,,,,
test_data/SetElderly/img_267.png,False,,,,,,,
test_data/SetElderly/img_221.png,False,,,,,,,
